index,sample_id,ab_value,otu
bacteria83,CSM5MCVL,0,g__Ruminococcaceae_noname|s__Ruminococcaceae_bacterium_D16
bacteria84,CSM5MCVL,0,g__Ruminococcus|s__Ruminococcus_flavefaciens
bacteria85,CSM5MCVL,0,g__Eubacterium|s__Eubacterium_ramulus
bacteria86,CSM5MCVL,0,g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_1_1_57FAA
bacteria87,CSM5MCVL,0,g__Propionibacterium|s__Propionibacterium_granulosum
bacteria88,CSM5MCVL,2.246,g__Roseburia|s__Roseburia_hominis
bacteria89,CSM5MCVL,0,g__Pseudomonas|s__Pseudomonas_fragi
bacteria90,CSM5MCVL,0.47196,g__Flavonifractor|s__Flavonifractor_plautii
bacteria91,CSM5MCVL,0,g__Coprococcus|s__Coprococcus_catus
bacteria92,CSM5MCVL,0,g__Veillonella|s__Veillonella_unclassified
bacteria93,CSM5MCVL,0,g__Leuconostoc|s__Leuconostoc_lactis
bacteria94,CSM5MCVL,0,g__Veillonella|s__Veillonella_parvula
bacteria95,CSM5MCVL,0.71817,g__Clostridium|s__Clostridium_hathewayi
bacteria96,CSM5MCVL,0,g__Streptococcus|s__Streptococcus_thermophilus
bacteria97,CSM5MCVL,0,g__Clostridium|s__Clostridium_citroniae
bacteria98,CSM5MCVL,2.39,g__Dialister|s__Dialister_invisus
bacteria99,CSM5MCVL,1.41917,g__C2likevirus|s__C2likevirus_unclassified
bacteria100,CSM5MCVL,0.18505,g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_5_1_57FAA
bacteria101,CSM5MCVL,0.12594,g__Clostridium|s__Clostridium_nexile
bacteria102,CSM5MCVL,0.05083,g__Coprobacillus|s__Coprobacillus_unclassified
bacteria103,CSM5MCVL,0.00229,g__Peptostreptococcaceae_noname|s__Clostridium_bartlettii
bacteria104,CSM5MCVL,0,g__Escherichia|s__Escherichia_unclassified
bacteria105,CSM5MCVL,0,g__Bacteroides|s__Bacteroides_massiliensis
bacteria106,CSM5MCVL,0,g__Alistipes|s__Alistipes_unclassified
bacteria107,CSM5MCVL,0,g__Clostridium|s__Clostridium_sp_ATCC_BAA_442
bacteria108,CSM5MCVL,0,g__Coprobacter|s__Coprobacter_fastidiosus
bacteria109,CSM5MCVL,0,g__Clostridium|s__Clostridium_symbiosum
bacteria110,CSM5MCVL,0,g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_3_1_57FAA_CT1
bacteria111,CSM5MCVL,0,g__Pseudoflavonifractor|s__Pseudoflavonifractor_capillosus
bacteria112,CSM5MCVL,0,g__Dorea|s__Dorea_unclassified
bacteria113,CSM5MCVL,0,g__Subdoligranulum|s__Subdoligranulum_variabile
bacteria114,CSM5MCVL,0,g__Holdemania|s__Holdemania_unclassified
bacteria115,CSM5MCVL,0,g__Eggerthella|s__Eggerthella_unclassified
bacteria116,CSM5MCVL,0,g__Erysipelotrichaceae_noname|s__Erysipelotrichaceae_bacterium_2_2_44A
bacteria1,CSM5MCVN,0,g__Bacteroides|s__Bacteroides_uniformis
bacteria2,CSM5MCVN,0,g__Bacteroides|s__Bacteroides_ovatus
bacteria3,CSM5MCVN,0.00062,g__Bacteroides|s__Bacteroides_dorei
bacteria4,CSM5MCVN,0,g__Faecalibacterium|s__Faecalibacterium_prausnitzii
bacteria5,CSM5MCVN,0.06701,g__Parabacteroides|s__Parabacteroides_unclassified
bacteria6,CSM5MCVN,0,g__Alistipes|s__Alistipes_putredinis
bacteria7,CSM5MCVN,12.25678,g__Acidaminococcus|s__Acidaminococcus_unclassified
bacteria8,CSM5MCVN,8.32982,g__Bacteroides|s__Bacteroides_thetaiotaomicron
bacteria9,CSM5MCVN,0,g__Parabacteroides|s__Parabacteroides_johnsonii
bacteria10,CSM5MCVN,0.00768,g__Subdoligranulum|s__Subdoligranulum_unclassified
bacteria11,CSM5MCVN,1.64535,g__Bacteroides|s__Bacteroides_xylanisolvens
bacteria12,CSM5MCVN,0,g__Bacteroides|s__Bacteroides_salyersiae
bacteria13,CSM5MCVN,0,g__Ruminococcus|s__Ruminococcus_bromii
bacteria14,CSM5MCVN,0,g__Oscillibacter|s__Oscillibacter_unclassified
bacteria15,CSM5MCVN,0,g__Alistipes|s__Alistipes_onderdonkii
bacteria16,CSM5MCVN,0.53145,g__Dorea|s__Dorea_longicatena
bacteria17,CSM5MCVN,0,g__Eubacterium|s__Eubacterium_siraeum
bacteria18,CSM5MCVN,0,g__Parabacteroides|s__Parabacteroides_distasonis
bacteria19,CSM5MCVN,0.00157,g__Blautia|s__Ruminococcus_obeum
bacteria20,CSM5MCVN,0.02252,g__Eubacterium|s__Eubacterium_hallii
bacteria21,CSM5MCVN,0,g__Coprococcus|s__Coprococcus_comes
bacteria22,CSM5MCVN,0,g__Dorea|s__Dorea_formicigenerans
bacteria23,CSM5MCVN,0.01853,g__Escherichia|s__Escherichia_coli
bacteria24,CSM5MCVN,0,g__Blautia|s__Ruminococcus_torques
bacteria25,CSM5MCVN,0,g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_7_1_58FAA
bacteria26,CSM5MCVN,0,g__Clostridium|s__Clostridium_leptum
bacteria27,CSM5MCVN,0,g__Blautia|s__Ruminococcus_gnavus
bacteria28,CSM5MCVN,0,g__Odoribacter|s__Odoribacter_unclassified
bacteria29,CSM5MCVN,0,g__Bilophila|s__Bilophila_unclassified
bacteria30,CSM5MCVN,0,g__Holdemania|s__Holdemania_filiformis
bacteria31,CSM5MCVN,0,g__Anaerostipes|s__Anaerostipes_caccae
bacteria32,CSM5MCVN,0.04548,g__Clostridiales_noname|s__Clostridiales_bacterium_1_7_47FAA
bacteria33,CSM5MCVN,0,g__Collinsella|s__Collinsella_tanakaei
bacteria34,CSM5MCVN,0,g__Mitsuokella|s__Mitsuokella_unclassified
bacteria35,CSM5MCVN,0,g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_2_1_58FAA
bacteria36,CSM5MCVN,8.84657,g__Clostridium|s__Clostridium_clostridioforme
bacteria37,CSM5MCVN,0,g__Alistipes|s__Alistipes_finegoldii
bacteria38,CSM5MCVN,0.00764,g__Potyvirus|s__Dasheen_mosaic_virus
bacteria39,CSM5MCVN,0,g__Bilophila|s__Bilophila_wadsworthia
bacteria40,CSM5MCVN,0.1367,g__Clostridium|s__Clostridium_bolteae
bacteria41,CSM5MCVN,42.37984,g__Bacteroides|s__Bacteroides_vulgatus
bacteria42,CSM5MCVN,0,g__Bacteroides|s__Bacteroides_caccae
bacteria43,CSM5MCVN,0,g__Anaerostipes|s__Anaerostipes_unclassified
bacteria44,CSM5MCVN,0,g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_1_4_56FAA
bacteria45,CSM5MCVN,0.22631,g__Clostridium|s__Clostridium_asparagiforme
bacteria46,CSM5MCVN,0,g__Propionibacterium|s__Propionibacterium_acnes
bacteria47,CSM5MCVN,0,g__Blautia|s__Blautia_hydrogenotrophica
bacteria48,CSM5MCVN,0,g__Bacteroides|s__Bacteroides_stercoris
bacteria49,CSM5MCVN,0,g__Eubacterium|s__Eubacterium_eligens
bacteria50,CSM5MCVN,0,g__Roseburia|s__Roseburia_intestinalis
bacteria51,CSM5MCVN,1.8187,g__Eubacterium|s__Eubacterium_rectale
bacteria52,CSM5MCVN,0,g__Bacteroides|s__Bacteroides_plebeius
bacteria53,CSM5MCVN,0,g__Paraprevotella|s__Paraprevotella_unclassified
bacteria54,CSM5MCVN,0,g__Barnesiella|s__Barnesiella_intestinihominis
bacteria55,CSM5MCVN,0,g__Oscillibacter|s__Oscillibacter_sp_KLE_1745
bacteria56,CSM5MCVN,0,g__Parasutterella|s__Parasutterella_excrementihominis
bacteria57,CSM5MCVN,0,g__Roseburia|s__Roseburia_inulinivorans
bacteria58,CSM5MCVN,0,g__Anaerostipes|s__Anaerostipes_hadrus
bacteria59,CSM5MCVN,0,g__Paraprevotella|s__Paraprevotella_clara
bacteria60,CSM5MCVN,14.90406,g__Bacteroides|s__Bacteroides_fragilis
bacteria61,CSM5MCVN,0,g__Klebsiella|s__Klebsiella_pneumoniae
bacteria62,CSM5MCVN,0,g__Odoribacter|s__Odoribacter_splanchnicus
bacteria63,CSM5MCVN,0,g__Parabacteroides|s__Parabacteroides_merdae
bacteria64,CSM5MCVN,0,g__Bacteroides|s__Bacteroides_faecis
bacteria65,CSM5MCVN,0,g__Bacteroidales_noname|s__Bacteroidales_bacterium_ph8
bacteria66,CSM5MCVN,0,g__Paraprevotella|s__Paraprevotella_xylaniphila
bacteria67,CSM5MCVN,0,g__Alistipes|s__Alistipes_shahii
bacteria68,CSM5MCVN,0,g__Peptostreptococcaceae_noname|s__Peptostreptococcaceae_noname_unclassified
bacteria69,CSM5MCVN,0.10537,g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_3_1_46FAA
bacteria70,CSM5MCVN,0,g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_8_1_57FAA
bacteria71,CSM5MCVN,0,g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_5_1_63FAA
bacteria72,CSM5MCVN,0,g__Siphoviridae_noname|s__Propionibacterium_phage_PHL060L00
bacteria73,CSM5MCVN,0,g__Burkholderiales_noname|s__Burkholderiales_bacterium_1_1_47
bacteria74,CSM5MCVN,0,g__Ruminococcus|s__Ruminococcus_albus
bacteria75,CSM5MCVN,0,g__Ruminococcus|s__Ruminococcus_lactaris
bacteria76,CSM5MCVN,0,g__Bacteroides|s__Bacteroides_cellulosilyticus
bacteria77,CSM5MCVN,0,g__Clostridiaceae_noname|s__Clostridiaceae_bacterium_JC118
bacteria78,CSM5MCVN,0,g__Bifidobacterium|s__Bifidobacterium_longum
bacteria79,CSM5MCVN,0,g__Alistipes|s__Alistipes_senegalensis
bacteria80,CSM5MCVN,0,g__Bifidobacterium|s__Bifidobacterium_adolescentis
bacteria81,CSM5MCVN,0.00079,g__Collinsella|s__Collinsella_aerofaciens
bacteria82,CSM5MCVN,0,g__Haemophilus|s__Haemophilus_parainfluenzae
bacteria83,CSM5MCVN,0,g__Ruminococcaceae_noname|s__Ruminococcaceae_bacterium_D16
bacteria84,CSM5MCVN,0,g__Ruminococcus|s__Ruminococcus_flavefaciens
bacteria85,CSM5MCVN,0,g__Eubacterium|s__Eubacterium_ramulus
bacteria86,CSM5MCVN,0,g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_1_1_57FAA
bacteria87,CSM5MCVN,0,g__Propionibacterium|s__Propionibacterium_granulosum
bacteria88,CSM5MCVN,0.09666,g__Roseburia|s__Roseburia_hominis
bacteria89,CSM5MCVN,0,g__Pseudomonas|s__Pseudomonas_fragi
bacteria90,CSM5MCVN,0.12898,g__Flavonifractor|s__Flavonifractor_plautii
bacteria91,CSM5MCVN,0,g__Coprococcus|s__Coprococcus_catus
bacteria92,CSM5MCVN,0,g__Veillonella|s__Veillonella_unclassified
bacteria93,CSM5MCVN,0,g__Leuconostoc|s__Leuconostoc_lactis
bacteria94,CSM5MCVN,0,g__Veillonella|s__Veillonella_parvula
bacteria95,CSM5MCVN,0.05971,g__Clostridium|s__Clostridium_hathewayi
bacteria96,CSM5MCVN,0,g__Streptococcus|s__Streptococcus_thermophilus
bacteria97,CSM5MCVN,0,g__Clostridium|s__Clostridium_citroniae
bacteria98,CSM5MCVN,2.24342,g__Dialister|s__Dialister_invisus
bacteria99,CSM5MCVN,0,g__C2likevirus|s__C2likevirus_unclassified
bacteria100,CSM5MCVN,0.24507,g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_5_1_57FAA
bacteria101,CSM5MCVN,0.18467,g__Clostridium|s__Clostridium_nexile
bacteria102,CSM5MCVN,0.00218,g__Coprobacillus|s__Coprobacillus_unclassified
bacteria103,CSM5MCVN,0.0077,g__Peptostreptococcaceae_noname|s__Clostridium_bartlettii
bacteria104,CSM5MCVN,0.04242,g__Escherichia|s__Escherichia_unclassified
bacteria105,CSM5MCVN,0.00125,g__Bacteroides|s__Bacteroides_massiliensis
bacteria106,CSM5MCVN,0,g__Alistipes|s__Alistipes_unclassified
bacteria107,CSM5MCVN,0,g__Clostridium|s__Clostridium_sp_ATCC_BAA_442
bacteria108,CSM5MCVN,0,g__Coprobacter|s__Coprobacter_fastidiosus
bacteria109,CSM5MCVN,0,g__Clostridium|s__Clostridium_symbiosum
bacteria110,CSM5MCVN,0,g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_3_1_57FAA_CT1
bacteria111,CSM5MCVN,0,g__Pseudoflavonifractor|s__Pseudoflavonifractor_capillosus
bacteria112,CSM5MCVN,0,g__Dorea|s__Dorea_unclassified
bacteria113,CSM5MCVN,0,g__Subdoligranulum|s__Subdoligranulum_variabile
bacteria114,CSM5MCVN,0,g__Holdemania|s__Holdemania_unclassified
bacteria115,CSM5MCVN,0,g__Eggerthella|s__Eggerthella_unclassified
bacteria116,CSM5MCVN,0,g__Erysipelotrichaceae_noname|s__Erysipelotrichaceae_bacterium_2_2_44A
bacteria1,CSM5MCW6,0,g__Bacteroides|s__Bacteroides_uniformis
bacteria2,CSM5MCW6,0,g__Bacteroides|s__Bacteroides_ovatus
bacteria3,CSM5MCW6,79.79276,g__Bacteroides|s__Bacteroides_dorei
bacteria4,CSM5MCW6,0,g__Faecalibacterium|s__Faecalibacterium_prausnitzii
bacteria5,CSM5MCW6,0,g__Parabacteroides|s__Parabacteroides_unclassified
bacteria6,CSM5MCW6,0,g__Alistipes|s__Alistipes_putredinis
bacteria7,CSM5MCW6,0,g__Acidaminococcus|s__Acidaminococcus_unclassified
bacteria8,CSM5MCW6,0,g__Bacteroides|s__Bacteroides_thetaiotaomicron
bacteria9,CSM5MCW6,0,g__Parabacteroides|s__Parabacteroides_johnsonii
bacteria10,CSM5MCW6,0.95345,g__Subdoligranulum|s__Subdoligranulum_unclassified
bacteria11,CSM5MCW6,0,g__Bacteroides|s__Bacteroides_xylanisolvens
bacteria12,CSM5MCW6,0,g__Bacteroides|s__Bacteroides_salyersiae
bacteria13,CSM5MCW6,0,g__Ruminococcus|s__Ruminococcus_bromii
bacteria14,CSM5MCW6,1.26023,g__Oscillibacter|s__Oscillibacter_unclassified
bacteria15,CSM5MCW6,0,g__Alistipes|s__Alistipes_onderdonkii
bacteria16,CSM5MCW6,0,g__Dorea|s__Dorea_longicatena
bacteria17,CSM5MCW6,0,g__Eubacterium|s__Eubacterium_siraeum
bacteria18,CSM5MCW6,0,g__Parabacteroides|s__Parabacteroides_distasonis
bacteria19,CSM5MCW6,0.05244,g__Blautia|s__Ruminococcus_obeum
bacteria20,CSM5MCW6,0,g__Eubacterium|s__Eubacterium_hallii
bacteria21,CSM5MCW6,0,g__Coprococcus|s__Coprococcus_comes
bacteria22,CSM5MCW6,0,g__Dorea|s__Dorea_formicigenerans
bacteria23,CSM5MCW6,0,g__Escherichia|s__Escherichia_coli
bacteria24,CSM5MCW6,0.1166,g__Blautia|s__Ruminococcus_torques
bacteria25,CSM5MCW6,0.17187,g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_7_1_58FAA
bacteria26,CSM5MCW6,0,g__Clostridium|s__Clostridium_leptum
bacteria27,CSM5MCW6,0.0299,g__Blautia|s__Ruminococcus_gnavus
bacteria28,CSM5MCW6,0,g__Odoribacter|s__Odoribacter_unclassified
bacteria29,CSM5MCW6,0,g__Bilophila|s__Bilophila_unclassified
bacteria30,CSM5MCW6,0.06307,g__Holdemania|s__Holdemania_filiformis
bacteria31,CSM5MCW6,0,g__Anaerostipes|s__Anaerostipes_caccae
bacteria32,CSM5MCW6,0.00072,g__Clostridiales_noname|s__Clostridiales_bacterium_1_7_47FAA
bacteria33,CSM5MCW6,0,g__Collinsella|s__Collinsella_tanakaei
bacteria34,CSM5MCW6,0,g__Mitsuokella|s__Mitsuokella_unclassified
bacteria35,CSM5MCW6,0,g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_2_1_58FAA
bacteria36,CSM5MCW6,1.57132,g__Clostridium|s__Clostridium_clostridioforme
bacteria37,CSM5MCW6,0,g__Alistipes|s__Alistipes_finegoldii
bacteria38,CSM5MCW6,0,g__Potyvirus|s__Dasheen_mosaic_virus
bacteria39,CSM5MCW6,0,g__Bilophila|s__Bilophila_wadsworthia
bacteria40,CSM5MCW6,0.90233,g__Clostridium|s__Clostridium_bolteae
bacteria41,CSM5MCW6,0,g__Bacteroides|s__Bacteroides_vulgatus
bacteria42,CSM5MCW6,0,g__Bacteroides|s__Bacteroides_caccae
bacteria43,CSM5MCW6,0,g__Anaerostipes|s__Anaerostipes_unclassified
bacteria44,CSM5MCW6,0,g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_1_4_56FAA
bacteria45,CSM5MCW6,0,g__Clostridium|s__Clostridium_asparagiforme
bacteria46,CSM5MCW6,0,g__Propionibacterium|s__Propionibacterium_acnes
bacteria47,CSM5MCW6,0,g__Blautia|s__Blautia_hydrogenotrophica
bacteria48,CSM5MCW6,0,g__Bacteroides|s__Bacteroides_stercoris
bacteria49,CSM5MCW6,2.41049,g__Eubacterium|s__Eubacterium_eligens
bacteria50,CSM5MCW6,0,g__Roseburia|s__Roseburia_intestinalis
bacteria51,CSM5MCW6,0,g__Eubacterium|s__Eubacterium_rectale
bacteria52,CSM5MCW6,0,g__Bacteroides|s__Bacteroides_plebeius
bacteria53,CSM5MCW6,0,g__Paraprevotella|s__Paraprevotella_unclassified
bacteria54,CSM5MCW6,0,g__Barnesiella|s__Barnesiella_intestinihominis
bacteria55,CSM5MCW6,0,g__Oscillibacter|s__Oscillibacter_sp_KLE_1745
bacteria56,CSM5MCW6,0.5708,g__Parasutterella|s__Parasutterella_excrementihominis
bacteria57,CSM5MCW6,0.11846,g__Roseburia|s__Roseburia_inulinivorans
bacteria58,CSM5MCW6,0,g__Anaerostipes|s__Anaerostipes_hadrus
bacteria59,CSM5MCW6,0,g__Paraprevotella|s__Paraprevotella_clara
bacteria60,CSM5MCW6,0,g__Bacteroides|s__Bacteroides_fragilis
bacteria61,CSM5MCW6,0,g__Klebsiella|s__Klebsiella_pneumoniae
bacteria62,CSM5MCW6,2.04998,g__Odoribacter|s__Odoribacter_splanchnicus
bacteria63,CSM5MCW6,0,g__Parabacteroides|s__Parabacteroides_merdae
bacteria64,CSM5MCW6,0,g__Bacteroides|s__Bacteroides_faecis
bacteria65,CSM5MCW6,0,g__Bacteroidales_noname|s__Bacteroidales_bacterium_ph8
bacteria66,CSM5MCW6,0,g__Paraprevotella|s__Paraprevotella_xylaniphila
bacteria67,CSM5MCW6,0,g__Alistipes|s__Alistipes_shahii
bacteria68,CSM5MCW6,0,g__Peptostreptococcaceae_noname|s__Peptostreptococcaceae_noname_unclassified
bacteria69,CSM5MCW6,0,g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_3_1_46FAA
bacteria70,CSM5MCW6,0,g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_8_1_57FAA
bacteria71,CSM5MCW6,0,g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_5_1_63FAA
bacteria72,CSM5MCW6,0,g__Siphoviridae_noname|s__Propionibacterium_phage_PHL060L00
bacteria73,CSM5MCW6,0.037,g__Burkholderiales_noname|s__Burkholderiales_bacterium_1_1_47
bacteria74,CSM5MCW6,0,g__Ruminococcus|s__Ruminococcus_albus
bacteria75,CSM5MCW6,0,g__Ruminococcus|s__Ruminococcus_lactaris
bacteria76,CSM5MCW6,0,g__Bacteroides|s__Bacteroides_cellulosilyticus
bacteria77,CSM5MCW6,0.0637,g__Clostridiaceae_noname|s__Clostridiaceae_bacterium_JC118
bacteria78,CSM5MCW6,0,g__Bifidobacterium|s__Bifidobacterium_longum
bacteria79,CSM5MCW6,0,g__Alistipes|s__Alistipes_senegalensis
bacteria80,CSM5MCW6,0,g__Bifidobacterium|s__Bifidobacterium_adolescentis
bacteria81,CSM5MCW6,0,g__Collinsella|s__Collinsella_aerofaciens
bacteria82,CSM5MCW6,0,g__Haemophilus|s__Haemophilus_parainfluenzae
bacteria83,CSM5MCW6,0.02431,g__Ruminococcaceae_noname|s__Ruminococcaceae_bacterium_D16
bacteria84,CSM5MCW6,0,g__Ruminococcus|s__Ruminococcus_flavefaciens
bacteria85,CSM5MCW6,0,g__Eubacterium|s__Eubacterium_ramulus
bacteria86,CSM5MCW6,0.15111,g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_1_1_57FAA
bacteria87,CSM5MCW6,0,g__Propionibacterium|s__Propionibacterium_granulosum
bacteria88,CSM5MCW6,2.98091,g__Roseburia|s__Roseburia_hominis
bacteria89,CSM5MCW6,0,g__Pseudomonas|s__Pseudomonas_fragi
bacteria90,CSM5MCW6,0.05009,g__Flavonifractor|s__Flavonifractor_plautii
bacteria91,CSM5MCW6,0,g__Coprococcus|s__Coprococcus_catus
bacteria92,CSM5MCW6,0.00129,g__Veillonella|s__Veillonella_unclassified
bacteria93,CSM5MCW6,0,g__Leuconostoc|s__Leuconostoc_lactis
bacteria94,CSM5MCW6,0,g__Veillonella|s__Veillonella_parvula
bacteria95,CSM5MCW6,0,g__Clostridium|s__Clostridium_hathewayi
bacteria96,CSM5MCW6,0,g__Streptococcus|s__Streptococcus_thermophilus
bacteria97,CSM5MCW6,0,g__Clostridium|s__Clostridium_citroniae
bacteria98,CSM5MCW6,0,g__Dialister|s__Dialister_invisus
bacteria99,CSM5MCW6,0,g__C2likevirus|s__C2likevirus_unclassified
bacteria100,CSM5MCW6,0.01028,g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_5_1_57FAA
bacteria101,CSM5MCW6,0,g__Clostridium|s__Clostridium_nexile
bacteria102,CSM5MCW6,0,g__Coprobacillus|s__Coprobacillus_unclassified
bacteria103,CSM5MCW6,0,g__Peptostreptococcaceae_noname|s__Clostridium_bartlettii
bacteria104,CSM5MCW6,0,g__Escherichia|s__Escherichia_unclassified
bacteria105,CSM5MCW6,0,g__Bacteroides|s__Bacteroides_massiliensis
bacteria106,CSM5MCW6,3.87423,g__Alistipes|s__Alistipes_unclassified
bacteria107,CSM5MCW6,1.83284,g__Clostridium|s__Clostridium_sp_ATCC_BAA_442
bacteria108,CSM5MCW6,0.33702,g__Coprobacter|s__Coprobacter_fastidiosus
bacteria109,CSM5MCW6,0.32695,g__Clostridium|s__Clostridium_symbiosum
bacteria110,CSM5MCW6,0.14391,g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_3_1_57FAA_CT1
bacteria111,CSM5MCW6,0.0275,g__Pseudoflavonifractor|s__Pseudoflavonifractor_capillosus
bacteria112,CSM5MCW6,0.02462,g__Dorea|s__Dorea_unclassified
bacteria113,CSM5MCW6,0.01714,g__Subdoligranulum|s__Subdoligranulum_variabile
bacteria114,CSM5MCW6,0.01537,g__Holdemania|s__Holdemania_unclassified
bacteria115,CSM5MCW6,0.00958,g__Eggerthella|s__Eggerthella_unclassified
bacteria116,CSM5MCW6,0.00771,g__Erysipelotrichaceae_noname|s__Erysipelotrichaceae_bacterium_2_2_44A
